genre,shop_name,tabelog_review,google_review,seat,table,holiday,price,menu,image_file_name,reserve,tel,latitude,longnitude,google_map_url,tabelog_url,official
ラーメン,武蔵家,3.56,4.20,15,なし,なし,650,ラーメン並,1_musahiya.jpg,,045-562-6662,35.554044,139.645642,https://goo.gl/maps/YhzjFwyFRX22,https://tabelog.com/kanagawa/A1401/A140204/14007923/,
ラーメン,銀家,3.23,3.90,67,あり,なし,650,ラーメン並,2_ginya.jpg,不可,045-548-9218,35.553098,139.645661,https://goo.gl/maps/m7gSDr5t2dM2,https://tabelog.com/kanagawa/A1401/A140204/14015064/,
ラーメン,壱角家,3.00,3.60,17,なし,なし,650,ラーメン並,3_ikkakuya.jpg,不可,045-566-6782,35.553652,139.646055,https://goo.gl/maps/z8TwWLcCtYH2,https://tabelog.com/kanagawa/A1401/A140204/14055672/,
ラーメン,らすた,3.56,3.80,19,なし,不定休,620,ラーメン並,4_rasuta.jpg,不可,045-565-1608,35.554,139.644781,https://goo.gl/maps/2EMXmM7AfF82,https://tabelog.com/kanagawa/A1401/A140204/14000095/,
ラーメン,がッとん,3.55,4.00,15,なし,なし,650,九州豚骨ラーメン,5_gatton.jpg,不可,045-548-8774,35.554247,139.645992,https://goo.gl/maps/XC35FzBNTxn,https://tabelog.com/kanagawa/A1401/A140204/14050746/,
ラーメン,どん,3.52,4.10,13,あり(2卓6席),日,680,ラーメン小,6_don.jpg,,045-564-1721,35.554197,139.646911,https://goo.gl/maps/QQNxSASXTjp,https://tabelog.com/kanagawa/A1401/A140204/14014795/,
ラーメン,豚星。,3.77,3.80,15,なし,なし,780,汁なし小ラーメン,7_butaboshi.jpg,不可,,35.559909,139.654369,https://goo.gl/maps/1fHDakKYtL72,https://tabelog.com/kanagawa/A1405/A140504/14058333/,https://twitter.com/butaboshi?lang=ja
ラーメン,大勝軒,3.58,4.00,9,なし,月,800,中華麺,8_taishoken.jpg,,,35.553724,139.646212,https://goo.gl/maps/hHrwzrTqxy12,https://tabelog.com/kanagawa/A1401/A140204/14033593/,https://www.facebook.com/hiyoshi.taishouken?fref=ts
ラーメン,ハマトラ,3.51,4.00,39,あり,なし,750,こく塩鶏そば,9_hamatora.jpg,,045-564-8618,35.555392,139.645156,https://goo.gl/maps/4PpKJqfJEUk,https://tabelog.com/kanagawa/A1401/A140204/14004981/,http://hamatora.co.jp/hiyoshi/
ラーメン,濱星,3.21,3.40,24,あり,なし,680,あっさり煮干しそば,10_hamaboshi.jpg,,045-620-2920,35.554203,139.645878,https://goo.gl/maps/exWoonv7YYK2,https://tabelog.com/kanagawa/A1401/A140204/14069971/,https://www.facebook.com/hamaboshihiyoshi
ラーメン,柴田商店,3.50,4.00,8,なし,水,600,とんこつ醤油ラーメン,11_shibata.jpg,,045-563-8368,35.554352,139.646518,https://goo.gl/maps/p8QtwFn5paK2,https://tabelog.com/kanagawa/A1401/A140204/14058110/,
ラーメン,日の出らーめん,3.30,3.30,24,あり(4卓4席),なし,680,ガッツ麺,12_hinode.jpg,不可,045-594-9088,35.554072,139.646297,https://goo.gl/maps/A39a3zBYKwJ2,https://tabelog.com/kanagawa/A1401/A140204/14056041/,https://m.facebook.com/hinodehiyoshi/
ラーメン,麺屋こころ,3.13,3.20,,あり,なし,830,台湾まぜそば,13_kokoro.jpg,,045-620-3478,35.553256,139.64585,https://goo.gl/maps/TM3sgY3gs3R2,https://tabelog.com/kanagawa/A1401/A140204/14073194/,https://www.menya-cocoro.com/
ラーメン,ひよし家,3.16,3.60,20,あり,日,650,らー麺,14_hiyopshiya.jpg,,045-561-8006,35.554461,139.645661,https://goo.gl/maps/1sJvocBsWdE2,https://tabelog.com/kanagawa/A1401/A140204/14000354/,
中華,王府,3.05,4.10,22,あり(4卓4席),日/3土,600,肉チャーハン,15_wanfu.jpg,,045-561-6106,35.553039,139.645467,https://goo.gl/maps/jRozRx5iK6A2,https://tabelog.com/kanagawa/A1401/A140204/14016152/,
